fname,tot_return,sp_return
fn_20200505_10q_THISQ.xml,0.10203378145467079,0.03868711198039554
fg_20200506_10q_THISQ.xml,-0.17832512315270943,-0.24896116555553638
rs_20200501_10q_THISQ.xml,0.11251290285583204,0.03636301828825972
cf_20200507_10q_THISQ.xml,0.07977941176470593,0.02192730646479668
clh_20200429_10q_THISQ.xml,0.02343615371359631,-0.014449640826190713
cp_20200422_10q_THISQ.xml,0.10793255327668283,0.017569806767398166
sxt_20200504_10q_THISQ.xml,0.08625921109666224,0.013082432150039347
ksu_20200417_10q_THISQ.xml,0.08007194244604321,0.01836474502506058
elj_20190806_10q_THISQ.xml,error,error
star_20200430_10q_THISQ.xml,0.10181451612903225,0.05416747764488572
vmc_20200506_10q_THISQ.xml,0.08352505751725503,0.012889015114428082
twi_20200507_10q_THISQ.xml,0.05128205128205132,-0.006570054017857929
npo_20200505_10q_THISQ.xml,0.060326472675656495,-0.0030201967986187572
elj_20200511_10q_THISQ.xml,error,error
emp_20191105_10q_THISQ.xml,error,error
mtx_20200501_10q_THISQ.xml,0.16406987724268185,0.08791999267510953
bdc_20200504_10q_THISQ.xml,0.07631412286257144,0.003137343915948554
apd_20200423_10q_THISQ.xml,0.14380236100533117,0.05336113160923239
sndr_20200430_10q_THISQ.xml,0.10297482837528604,0.05532778989113951
spb_20200505_10q_THISQ.xml,0.12212473322267003,0.05877806374839478
fbhs_20200501_10q_THISQ.xml,0.18807250048723434,0.11192261591966202
sojd_20191030_10q_THISQ.xml,0.003216726980297402,-0.00823339987242
sfb_20191106_10q_THISQ.xml,error,error
sxc_20200508_10q_THISQ.xml,-0.025658609063375026,-0.06628919018715562
lyb_20200501_10q_THISQ.xml,0.15575579257079797,0.07960590800322564
hl_20200507_10q_THISQ.xml,0.3227091633466137,0.26485705804670445
j_20200506_10q_THISQ.xml,0.07501923570146185,0.004383193298634902
mlm_20200505_10q_THISQ.xml,0.06127071823204422,-0.0020759512422310333
lthm_20200511_10q_THISQ.xml,0.02900763358778624,-0.011408546619616988
emp_20190806_10q_THISQ.xml,error,error
trox_20200507_10q_THISQ.xml,0.07617504051863855,0.018322935218729297
fmc_20200506_10q_THISQ.xml,0.06989951944080386,-0.0007365229620230895
pqg_20200511_10q_THISQ.xml,0.12556053811659185,0.08514435790918862
len_20200407_10q_THISQ.xml,0.5444074737650373,0.3965876457542785
amrc_20200505_10q_THISQ.xml,0.11770833333333353,0.054361663859058273
ctt_20200504_10q_THISQ.xml,0.11189801699716706,0.03872123805054417
vrs_20200511_10q_THISQ.xml,0.07460437076111526,0.03418819055371203
vntr_20200506_10q_THISQ.xml,-0.05755395683453224,-0.1281899992373592
door_20200506_10q_THISQ.xml,0.10984785152984444,0.039211809127017494
emp_20200511_10q_THISQ.xml,error,error
chd_20200430_10q_THISQ.xml,0.07611811926605494,0.02847108078190841
elj_20191105_10q_THISQ.xml,error,error
lin_20200507_10q_THISQ.xml,0.09498695084819486,0.03713484554828561
wst_20200424_10q_THISQ.xml,0.10485108996008607,0.029388767878660627
ups_20200508_10q_THISQ.xml,0.06244006393180612,0.021809482808025527
dy_20200521_10q_THISQ.xml,0.0858911529533144,0.053873713667235146
