sector,filename
BasicIndustries,uan_20200507_10q_THISQ.xml
BasicIndustries,hun_20200501_10q_THISQ.xml
BasicIndustries,jeld_20191106_10q_0.xml
BasicIndustries,mlm_20191030_10q_0.xml
BasicIndustries,ryam_20200507_10q_THISQ.xml
BasicIndustries,ppg_20190719_10q_1.xml
BasicIndustries,aa_20191031_10q_0.xml
BasicIndustries,sum_20200429_10q_THISQ.xml
BasicIndustries,ful_20190927_10q_1.xml
BasicIndustries,ip_20191101_10q_0.xml
BasicIndustries,neu_20191024_10q_0.xml
BasicIndustries,fmc_20190508_10q_1.xml
BasicIndustries,jeld_20190807_10q_1.xml
BasicIndustries,kra_20200430_10q_THISQ.xml
BasicIndustries,slca_20190730_10q_0.xml
BasicIndustries,swm_20190807_10q_1.xml
BasicIndustries,mtz_20190801_10q_0.xml
BasicIndustries,sky_20191031_10q_0.xml
BasicIndustries,smg_20200506_10q_THISQ.xml
BasicIndustries,hxl_20200420_10q_THISQ.xml
BasicIndustries,fmc_20191030_10q_0.xml
BasicIndustries,wlk_20191106_10q_0.xml
BasicIndustries,ibp_20200508_10q_THISQ.xml
BasicIndustries,alb_20200511_10q_THISQ.xml
BasicIndustries,ryi_20190805_10q_1.xml
BasicIndustries,sum_20191030_10q_0.xml
BasicIndustries,ain_20200430_10q_THISQ.xml
BasicIndustries,j_20200204_10q_1.xml
BasicIndustries,cc_20190802_10q_1.xml
BasicIndustries,foe_20191112_10q_0.xml
BasicIndustries,aes_20191106_10q_0.xml
BasicIndustries,mdu_20190802_10q_1.xml
BasicIndustries,ufs_20190509_10q_0.xml
BasicIndustries,cmc_20200325_10q_1.xml
BasicIndustries,rfp_20190809_10q_0.xml
BasicIndustries,cvia_20191106_10q_0.xml
BasicIndustries,ain_20190731_10q_0.xml
BasicIndustries,rpm_20200408_10q_THISQ.xml
BasicIndustries,tse_20190809_10q_0.xml
BasicIndustries,cmc_20200107_10q_1.xml
BasicIndustries,mtx_20190802_10q_1.xml
BasicIndustries,np_20190503_10q_0.xml
BasicIndustries,chd_20190731_10q_0.xml
BasicIndustries,aes_20190806_10q_1.xml
BasicIndustries,pol_20200421_10q_THISQ.xml
BasicIndustries,see_20200505_10q_THISQ.xml
BasicIndustries,twi_20190801_10q_1.xml
BasicIndustries,csl_20190725_10q_1.xml
BasicIndustries,fbhs_20190802_10q_1.xml
BasicIndustries,mux_20190730_10q_0.xml
BasicIndustries,wlk_20190806_10q_1.xml
BasicIndustries,neu_20190801_10q_1.xml
BasicIndustries,lpx_20200506_10q_THISQ.xml
BasicIndustries,ngvt_20191030_10q_0.xml
BasicIndustries,kbr_20200504_10q_THISQ.xml
BasicIndustries,rs_20191031_10q_0.xml
BasicIndustries,np_20190807_10q_1.xml
BasicIndustries,neu_20200423_10q_THISQ.xml
